SID	WORD	POS
1	abolish	v.
2	abortion	n.
3	absence	n.
4	absent	adj.
5	absurd	adj.
6	abundance	n.
7	abuse	n.
8	abuse	v.
9	academy	n.
10	accelerate	v.
11	acceptance	n.
12	accessible	adj.
13	accomplishment	n.
14	accordance	n.
15	accordingly	adv.
16	accountability	n.
17	accountable	adj.
18	accumulate	v.
19	accumulation	n.
20	accusation	n.
21	accused	n.
22	acid	adj.
23	acquisition	n.
24	acre	n.
25	activation	n.
26	activist	n.
27	acute	adj.
28	adaptation	n.
29	adhere	v.
30	adjacent	adj.
31	adjustment	n.
32	administer	v.
33	administrative	adj.
34	administrator	n.
35	admission	n.
36	adolescent	n.
37	adoption	n.
38	adverse	adj.
39	advocate	n.
40	advocate	v.
41	aesthetic	adj.
42	affection	n.
43	aftermath	n.
44	aggression	n.
45	agricultural	adj.
46	aide	n.
47	albeit	conj.
48	alert	v.
49	alert	n.
50	alien	adj.
51	align	v.
52	alignment	n.
53	alike	adv.
54	alike	adj.
55	allegation	n.
56	allege	v.
57	allegedly	adv.
58	alliance	n.
59	allocate	v.
60	allocation	n.
61	allowance	n.
62	ally	n.
63	aluminium	n.
64	amateur	n.
65	ambassador	n.
66	amend	v.
67	amendment	n.
68	amid	prep.
69	analogy	n.
70	anchor	n.
71	angel	n.
72	anonymous	adj.
73	apparatus	n.
74	appealing	adj.
75	appetite	n.
76	applaud	v.
77	applicable	adj.
78	appoint	v.
79	appreciation	n.
80	arbitrary	adj.
81	architectural	adj.
82	archive	n.
83	arena	n.
84	arguably	adv.
85	arm	v.
86	array	n.
87	articulate	v.
88	ash	n.
89	aspiration	n.
90	aspire	v.
91	assassination	n.
92	assault	n.
93	assault	v.
94	assemble	v.
95	assembly	n.
96	assert	v.
97	assertion	n.
98	assurance	n.
99	asylum	n.
100	atrocity	n.
101	attain	v.
102	attendance	n.
103	attorney	n.
104	attribute	v.
105	attribute	n.
106	audit	n.
107	authentic	adj.
108	authorize	v.
109	auto	n.
110	autonomy	n.
111	availability	n.
112	await	v.
113	backdrop	n.
114	backing	n.
115	backup	n.
116	bail	n.
117	ballot	n.
118	banner	n.
119	bare	adj.
120	barrel	n.
121	bass1	n.
122	bat	v.
123	battlefield	n.
124	bay	n.
125	beam	n.
126	beast	n.
127	behalf	n.
128	beloved	adj.
129	bench	n.
130	benchmark	n.
131	beneath	prep.
132	beneficiary	n.
133	betray	v.
134	bind	v.
135	biography	n.
136	bishop	n.
137	bizarre	adj.
138	blade	n.
139	blast	n.
140	blast	v.
141	bleed	v.
142	blend	v.
143	blend	n.
144	bless	v.
145	blessing	n.
146	boast	v.
147	bonus	n.
148	boom	n.
149	bounce	v.
150	boundary	n.
151	bow1	v.
152	bow1	n.
153	breach	n.
154	breach	v.
155	breakdown	n.
156	breakthrough	n.
157	breed	v.
158	breed	n.
159	broadband	n.
160	browser	n.
161	brutal	adj.
162	buck	n.
163	buddy	n.
164	buffer	n.
165	bulk	n.
166	burden	n.
167	bureaucracy	n.
168	burial	n.
169	burst	v.
170	cabinet	n.
171	calculation	n.
172	canvas	n.
173	capability	n.
174	capitalism	n.
175	capitalist	adj.
176	cargo	n.
177	carriage	n.
178	carve	v.
179	casino	n.
180	casualty	n.
181	catalogue	n.
182	cater	v.
183	cattle	n.
184	caution	n.
185	cautious	adj.
186	cease	v.
187	cemetery	n.
188	chamber	n.
189	chaos	n.
190	characterize	v.
191	charm	n.
192	charter	n.
193	chronic	adj.
194	chunk	n.
195	circulate	v.
196	circulation	n.
197	citizenship	n.
198	civic	adj.
199	civilian	n.
200	clarity	n.
201	clash	n.
202	classification	n.
203	cling	v.
204	clinical	adj.
205	closure	n.
206	cluster	n.
207	coalition	n.
208	coastal	adj.
209	cocktail	n.
210	cognitive	adj.
211	coincide	v.
212	collaborate	v.
213	collaboration	n.
214	collective	adj.
215	collision	n.
216	colonial	adj.
217	columnist	n.
218	combat	n.
219	combat	v.
220	commence	v.
221	commentary	n.
222	commentator	n.
223	commerce	n.
224	commissioner	n.
225	commodity	n.
226	communist	adj.
227	companion	n.
228	comparable	adj.
229	compassion	n.
230	compel	v.
231	compelling	adj.
232	compensate	v.
233	compensation	n.
234	competence	n.
235	competent	adj.
236	compile	v.
237	complement	v.
238	complexity	n.
239	compliance	n.
240	complication	n.
241	comply	v.
242	composition	n.
243	compromise	n.
244	compromise	v.
245	compute	v.
246	conceal	v.
247	concede	v.
248	conceive	v.
249	conception	n.
250	concession	n.
251	condemn	v.
252	confer	v.
253	confession	n.
254	configuration	n.
255	confine	v.
256	confirmation	n.
257	confront	v.
258	confrontation	n.
259	congratulate	v.
260	congregation	n.
261	congressional	adj.
262	conquer	v.
263	conscience	n.
264	consciousness	n.
265	consecutive	adj.
266	consensus	n.
267	consent	n.
268	consent	v.
269	conserve	v.
270	consistency	n.
271	consolidate	v.
272	constituency	n.
273	constitute	v.
274	constitution	n.
275	constitutional	adj.
276	constraint	n.
277	consultation	n.
278	contemplate	v.
279	contempt	n.
280	contend	v.
281	contender	n.
282	content	adj.
283	contention	n.
284	continually	adv.
285	contractor	n.
286	contradiction	n.
287	contrary	adj.
288	contrary	n.
289	contributor	n.
290	conversion	n.
291	convict	v.
292	conviction	n.
293	cooperate	v.
294	cooperative	adj.
295	coordinate	v.
296	coordination	n.
297	coordinator	n.
298	cop	n.
299	copper	n.
300	copyright	n.
301	correction	n.
302	correlate	v.
303	correlation	n.
304	correspond	v.
305	correspondence	n.
306	correspondent	n.
307	corresponding	adj.
308	corrupt	adj.
309	corruption	n.
310	costly	adj.
311	councillor	n.
312	counselling	n.
313	counsellor	n.
314	counter	(argue against) v.
315	counterpart	n.
316	countless	adj.
317	coup	n.
318	courtesy	n.
319	craft	v.
320	crawl	v.
321	creator	n.
322	credibility	n.
323	credible	adj.
324	creep	v.
325	critique	n.
326	crown	n.
327	crude	adj.
328	crush	v.
329	crystal	n.
330	cult	n.
331	cultivate	v.
332	curiosity	n.
333	custody	n.
334	cutting	n.
335	cynical	adj.
336	dam	n.
337	damaging	adj.
338	dawn	n.
339	debris	n.
340	debut	n.
341	decision-making	n.
342	decisive	adj.
343	declaration	n.
344	dedicated	adj.
345	dedication	n.
346	deed	n.
347	deem	v.
348	default	n.
349	defect	n.
350	defensive	adj.
351	deficiency	n.
