SID,WORD,POS,Vowel_Type,Stressed_Vowel
1,abolish,v.,Monophthong,/ ɑ /
2,abortion,n.,Monophthong,/ ɔ /
3,absence,n.,Monophthong,/ æ /
4,absent,adj.,Monophthong,/ æ /
5,absurd,adj.,Monophthong,/ ɝ /
6,abundance,n.,Monophthong,/ ʌ /
7,abuse,n.,Monophthong,/ u /
8,abuse,v.,Monophthong,/ u /
9,academy,n.,Monophthong,/ æ /
10,accelerate,v.,Monophthong,/ ɛ /
11,acceptance,n.,Monophthong,/ ɛ /
12,accessible,adj.,Monophthong,/ ɛ /
13,accomplishment,n.,Monophthong,/ ɑ /
14,accordance,n.,Monophthong,/ ɔ /
15,accordingly,adv.,Monophthong,/ ɔ /
16,accountability,n.,Monophthong,/ ɪ /
17,accountable,adj.,Diphthong,/ aʊ
18,accumulate,v.,Monophthong,/ u /
19,accumulation,n.,Diphthong,/ eɪ /
20,accusation,n.,Diphthong,/ eɪ /
21,accused,n.,Monophthong,/ u /
22,acid,adj.,Monophthong,/ æ /
23,acquisition,n.,Monophthong,/ ɪ /
24,acre,n.,Diphthong,/ eɪ /
25,activation,n.,Diphthong,/ eɪ /
26,activist,n.,Monophthong,/ æ /
27,acute,adj.,Monophthong,/ u /
28,adaptation,n.,Diphthong,/ eɪ /
29,adhere,v.,Monophthong,/ ɪ /
30,adjacent,adj.,Diphthong,/ eɪ /
31,adjustment,n.,Monophthong,/ ʌ /
32,administer,v.,Monophthong,/ ɪ /
33,administrative,adj.,Monophthong,/ ɪ /
34,administrator,n.,Monophthong,/ ɪ /
35,admission,n.,Monophthong,/ ɪ /
36,adolescent,n.,Monophthong,/ ɛ /
37,adoption,n.,Monophthong,/ ɑ /
38,adverse,adj.,Monophthong,/ ɝ /
39,advocate,n.,Monophthong,/ æ /
40,advocate,v.,Monophthong,/ æ /
41,aesthetic,adj.,Monophthong,/ ɛ /
42,affection,n.,Monophthong,/ ɛ /
43,aftermath,n.,Monophthong,/ æ /
44,aggression,n.,Monophthong,/ ɛ /
45,agricultural,adj.,Monophthong,/ æ /
46,aide,n.,Diphthong,/ eɪ /
47,albeit,conj.,Monophthong,/ i /
48,alert,v.,Monophthong,/ ɝ /
49,alert,n.,Monophthong,/ ɝ /
